id,title,severity,priority,confidence,effort,category,description,scenario,impact,cause,recommendation,test,risk,evidence
TC-001,"Usunięcie relacji jest interpretowane jak zwykła wiadomość, a zdalny kontakt może sterować retencją lokalnej historii",HIGH,P0,high,L,Poprawność domenowa / bezpieczeństwo danych,"Granica relacji jest obecnie zakodowana równolegle na trzech poziomach: jako magiczny tekst w Dart, jako logika triggerów SQL i jako typowany wariant protokołu. Kod wykonawczy przyjmuje zwykłą wiadomość tekstową z odpowiednim prefiksem jako autorytatywne polecenie zmiany stanu relacji. Pole `preserveHistory` pochodzi od nadawcy i wpływa na dane lokalne odbiorcy.","1. Złośliwy, ale prawidłowo sparowany kontakt wysyła zwykłą wiadomość, której body zaczyna się od magicznego prefiksu i zawiera `preserveHistory=false`. 2. Odbiorca poprawnie uwierzytelnia peer i odszyfrowuje MLS. 3. Podczas zapisu wiadomości trigger SQL traktuje treść jako polecenie usunięcia relacji. 4. Kontakt zostaje zablokowany, kolejki anulowane, MLS i endpointy usunięte, a historia lokalna może zostać skasowana. Osobno, gdy prawidłwy komunikat usunięcia nie zostanie zakolejkowany, UI i tak usuwa relację lokalnie, tworząc trwałą asymetrię.","Utrata lokalnej historii rozmowy zależna od danych kontrolowanych przez zdalny kontakt; możliwość wymuszenia rozłączenia; rozjazd stanu obu stron po błędzie sieci; bardzo trudne do odtworzenia przypadki po crashu. To nie jest błąd kryptografii MLS, lecz błąd autoryzacji semantyki po odszyfrowaniu.","Brak jednego, jawnego process managera relacji. Logika domenowa została rozproszona pomiędzy UI, SQL i payload aplikacyjny, a polityka lokalnej retencji została pomylona z informacją zdalną.","Usunąć rozpoznawanie magicznego prefiksu z tabeli `messages`. Dodać typowane polecenie silnika `requestRelationshipRemoval` i trwały workflow: lokalny tombstone + typed outbox + unikalny `relationshipEpoch`/`removalId` + zdalne ACK. Zdalny payload może informować o zakończeniu relacji, ale nie może wybierać polityki kasowania lokalnej historii; odbiorca powinien zawsze użyć własnej polityki. Przejście lokalne i zapis outboxu muszą być jednym commitem.","Dwa sparowane klienty. Wyślij zwykłą wiadomość o treści identycznej z dawnym prefiksem i potwierdź, że pozostaje zwykłą wiadomością. Następnie wykonaj typowane usunięcie, zasymuluj crash po lokalnym commicie przed wysłaniem, uruchom ponownie i sprawdź idempotentne dostarczenie. Zdalne `preserveHistory=false` nie może skasować historii odbiorcy.","Migracja musi rozpoznać istniejące tombstone’y i niedostarczone stare wiadomości. Przez okres kompatybilności odbieranie starego formatu powinno tworzyć wyłącznie bezpieczny, zachowujący historię tombstone, nigdy kasować historii. Wersję protokołu należy podnieść lub dodać capability negocjacji.","`mobile/lib/app/notification_safe_app_controller.dart:133-185` — UI tworzy tekst z prefiksem, wysyła go przez zwykłe `sendMessage`, a niezależnie od powodzenia wykonuje lokalne zablokowanie i `removeRelationship`. | `mobile/lib/core/relationships/relationship_message.dart:3-37` — operacja jest kodowana jako `torchat-relationship-removed-v1:` + JSON z `removedAt` i `preserveHistory`. | `common/torchat-client-engine/sql/migrations/014_runtime_integrity.sql:215-362` — trigger rozpoznaje prefiks w treści każdej przychodzącej wiadomości i może zablokować kontakt, anulować kolejki, skasować MLS/endpointy oraz — przy `preserveHistory=false` — historię wiadomości. | `common/torchat-core/src/application.rs:82-93` oraz `common/torchat-client-engine/src/actor/application_envelope.rs:202-233` — istnieje typowany payload `RelationshipRemoved`, lecz ścieżka UI go nie używa."
TC-002,Błąd wysłania receipt po udanym commicie odbioru powoduje ACK `Rejected` i kryptograficzne zablokowanie peera,HIGH,P0,high,M,Crash consistency / semantyka ACK,"Odbiór wiadomości ma poprawną transakcję domenową, lecz po niej wykonywany jest dodatkowy efekt wysyłki receipt. Jeśli przygotowanie lub dispatch receipt zawiedzie, warstwa P2P nie rozróżnia błędu efektu pobocznego od błędu deszyfrowania/commitu. Wiadomość i MLS są już utrwalone, ale peer otrzymuje semantykę odrzucenia.","1. Odbiorca zapisuje wiadomość, dedupe, receipt i post-decryption MLS snapshot. 2. Baza lub transport odmawia podczas `flush_pending_receipt_effects`. 3. `handle_application_envelope` zwraca `Err`. 4. P2P oznacza envelope jako odrzucony, wysyła `Rejected` i blokuje kontakt kryptograficznie. 5. Nadawca może oznaczyć wiadomość jako failed, choć odbiorca ją widzi; kolejne poprawne wiadomości zostają zablokowane.","Fałszywy błąd dostarczenia, trwałe rozjechanie stanu UX, niepotrzebny re-pairing i blokada całej sesji MLS z powodu awarii receipt. To narusza invariant: po commicie aplikacyjnym wynik transportowy nie może zostać cofnięty przez efekt poboczny.",Brak jawnej granicy „commit point” w API `handle_application_envelope` oraz zbyt szerokie mapowanie każdego `Err` na błąd kryptograficzny.,"Zwracać strukturalny wynik `InboundApplyResult { committed, events, receipt_due }`. Po commicie aplikacyjnym zawsze zakończyć inbound envelope jako `Delivered`/`Persisted`. Receipt pozostawić w trwałej kolejce i retry; błędy flush logować i klasyfikować, ale nie propagować do ACK wiadomości. `crypto_blocked_peers` ustawiać wyłącznie dla błędów uwierzytelnienia, hash mismatch lub nieodwracalnej desynchronizacji MLS.","Wstrzyknąć błąd dokładnie po commicie wiadomości, podczas pobrania lub wysyłki receipt. Odbiorca ma widzieć jedną wiadomość, MLS ma pozostać na nowej generacji, ACK ma być `Delivered`, peer nie może trafić do `crypto_blocked_peers`, a receipt ma zostać wysłany po restarcie.",Zmiana semantyki ACK może ujawnić ukryte założenia w senderze. Wprowadzić nowy test kontraktowy P2P i telemetryczny licznik `receipt_queue_failed_after_commit`; migracja danych nie jest potrzebna.,"`common/torchat-client-engine/src/actor/application_envelope.rs:102-135` — transakcja zapisuje wiadomość, delivery receipt, nowy snapshot MLS i rekord deduplikacji. | `common/torchat-client-engine/src/actor/application_envelope.rs:374-382` — po udanym commicie funkcja wywołuje `flush_pending_receipt_effects()?`; błąd jest propagowany jak błąd całego odbioru. | `common/torchat-client-engine/src/actor/peer_events.rs:55-90` — każdy błąd `handle_application_envelope` oznacza zapis `REJECTED`, ACK `Rejected` i dodanie nadawcy do `crypto_blocked_peers`."
TC-003,Desktop przechowuje klucz tożsamości w jawnym pliku i wyprowadza z niego klucz SQLCipher,HIGH,P0,high,L,Kryptografia / lokalne sekrety,Na desktopie kompromitacja jednego pliku daje jednocześnie długoterminową tożsamość użytkownika oraz deterministyczny klucz odszyfrowujący bazę. Uprawnienia `0600` chronią jedynie część scenariuszy Unix i nie zabezpieczają Windows ani malware działającego w kontekście użytkownika.,"Malware, backup w chmurze, inny proces użytkownika lub błędna kopia diagnostyczna odczytuje `installation.key`. Atakujący może podszyć się pod tożsamość i wyliczyć klucz SQLCipher do skopiowanej bazy. Rotacja jednego sekretu wymusza jednocześnie migrację obu funkcji.",Utrata poufności lokalnej historii i przejęcie tożsamości z jednego artefaktu; brak rozdziału domen kryptograficznych; większy blast radius na Windows.,Uproszczony model PoC bez OS credential vault i bez niezależnego losowego klucza bazy.,"Przechowywać klucz tożsamości i losowy klucz SQLCipher jako dwa niezależne sekrety w DPAPI/Credential Manager na Windows, Secret Service/KWallet na Linux i Keychain na macOS. Plik bazy powinien używać losowego 256-bitowego klucza, nie KDF z klucza podpisu. Dodać atomiczną migrację: odczyt starego pliku → zapis do vault → `PRAGMA rekey` → weryfikacja → bezpieczne usunięcie starego pliku. Używać `Zeroizing`/`SecretBytes` na całej ścieżce.","Test migracji ze starego layoutu, przerwanie procesu przed i po `rekey`, ponowne uruchomienie, brak utraty tożsamości i danych. Test Windows potwierdzający ACL/vault oraz brak sekretu w plaintext w katalogu danych.",Największe ryzyko to utrata dostępu po nieatomowej migracji lub niedostępny vault w sesjach headless. Wymagany journal migracji i możliwość bezpiecznego rollbacku bez pozostawiania dwóch aktywnych kopii.,"`desktop/src/identity_store.rs:16-47` — 32-bajtowy klucz prywatny jest zapisany jako Base64 w `installation.key`; tylko Unix otrzymuje `0600`, brak odpowiednika dla Windows. | `desktop/src/runtime_engine_stdio.rs:38-43` — klucz bazy to `SHA-256(domain || identity_private_key)`. | `desktop/src/runtime_engine_stdio.rs:73-89` — ten sam sekret jest ładowany do konfiguracji jako tożsamość i materiał do wyprowadzenia klucza bazy. | `mobile/android/app/src/main/kotlin/org/torchat/security/LocalSecretStore.kt:12-49` — Android ma lepszy wzorzec: dwa niezależne losowe sekrety opakowane kluczem Android Keystore."
TC-004,Konfiguracja host/staging nie dostarcza wymaganego `TORCHAT_PAIRING_SECRET` i serwer kończy proces podczas startu,HIGH,P0,high,S,Operacyjność / deployment,"Ścieżka produkcyjna host/staging i kod serwera mają sprzeczny kontrakt konfiguracji. Docker Compose nie przekazuje arbitralnych zmiennych hosta do kontenera, jeśli nie zostały zadeklarowane.","Operator wykonuje udokumentowany bootstrap, ustawia `TORCHAT_ONION_URL` i uruchamia usługę. Kontener serwera dociera do inicjalizacji `AppState`, nie znajduje zmiennej i panikuje. Tor czeka na usługę, deployment pozostaje niedostępny.",Powtarzalna awaria startu środowiska host/staging; brak bezpiecznego release gate dla rzeczywistej konfiguracji.,"Dev i host compose ewoluowały osobno; serwer wspiera `_FILE` dla URL bazy, ale nie dla pairing secret.","Dodać `TORCHAT_PAIRING_SECRET_FILE`, wygenerować 32+ bajtowy sekret w bootstrapie, zamontować jako Docker secret i przekazać ścieżkę do serwera. Dodać walidator konfiguracji uruchamiany przed migracjami oraz smoke test `docker compose -f compose.host.yml config` + start/health w CI.","Uruchomienie host compose z nowym pustym secure root powinno samodzielnie utworzyć sekrety, wystartować serwer i przejść `/health`. Brak lub zbyt krótki pairing secret ma dawać czytelny błąd preflight, nie panic po częściowej inicjalizacji.","Zmiana sekretu unieważnia hashe kodów/capabilities zależne od tego sekretu. Na istniejącym środowisku należy zachować wartość, nie generować ponownie.","`server/torchat-server/src/main.rs:283-290` — konstrukcja `AppState` używa `expect(""TORCHAT_PAIRING_SECRET is required"")`. | `infra/docker/compose.host.yml:1-19,55-59` — host compose przekazuje sekret bazy, lecz nie deklaruje `TORCHAT_PAIRING_SECRET` ani pliku sekretu. | `infra/host/bootstrap-staging.sh:19-31` — bootstrap generuje `postgres_password` i `database_url`, ale nie pairing secret. | `infra/docker/compose.dev.yml:6-13` — konfiguracja developerska poprawnie wymaga zmiennej."
TC-005,"Idempotency `command_id` ginie na desktopie, a Android tworzy nowy identyfikator dla każdego wywołania",HIGH,P0,high,M,API / niezawodność po timeoutach,"Silnik ma trwałą tabelę `processed_commands` i wiąże identyfikator z hashem całego payloadu, lecz hosty nie zapewniają stabilnego identyfikatora logicznej operacji. Na desktopie identyfikator jest całkowicie tracony. Na Androidzie ponowienie po timeout/restart traktowane jest jak nowe polecenie.","UI wysyła mutację, commit dochodzi do skutku, ale odpowiedź ginie przy restarcie Activity/sidecara. UI ponawia operację. Desktop nie ma idempotency, Android generuje nowy UUID; silnik wykonuje drugi commit lub drugi efekt zewnętrzny. Dotyczy m.in. send, pairing, rotacji capability, usuwania relacji i zmian profilu.","Duplikaty, wyścigi, ponowne przesunięcia workflow i trudne do rozstrzygnięcia sukcesy po timeoutach. Zabezpieczenie istniejące w bazie nie działa end-to-end.",Pomieszanie korelacji pojedynczego requestu z idempotency logicznej intencji użytkownika.,"Desktop ma używać `submit_envelope(envelope)`. W kontrakcie rozdzielić `requestId` od `operationId/commandId`. Dla mutacji generować stabilny ID w warstwie repository/process manager, zapisać go lokalnie przed wywołaniem i zachowywać przez retry/restart; zapytania mogą nie mieć command ID. Dodać TTL/retencję wyników po ustalonym oknie retry.","Dla każdej mutacji: commit, zgubienie odpowiedzi, ponowienie z tym samym operation ID po restarcie hosta. Oczekiwany ten sam wynik i jeden efekt. Ponowienie z tym samym ID, ale innym payloadem ma zwrócić `idempotency_conflict` na Windows, Androidzie i bezpośrednim FFI.",Po wdrożeniu starsze hosty nadal będą wysyłały niestabilne ID. Wersjonować engine contract i wspierać okres przejściowy; nie używać request ID jako substytutu dla operacji rozpoczętej przed restartem.,"`mobile/lib/windows_runtime.dart:558-566` — host Dart wysyła `requestId` i `commandId`. | `desktop/src/runtime_engine_stdio.rs:125-140` — sidecar deserializuje envelope, ale wywołuje `engine.submit(request_id, command)`, odrzucając `command_id`. | `common/torchat-client-engine/src/engine.rs:64-86` — `submit` jawnie ustawia `command_id: None`; `submit_envelope` jest przeznaczone do zachowania idempotency. | `mobile/android/app/src/main/kotlin/org/torchat/mobile/AndroidEngineHost.kt:30-35,57-68` — `commandId=requestId`, a `requestId` jest nowym UUID dla każdego await."
TC-006,"UI blokuje dostęp do lokalnych danych, dopóki Tor, listener, onion service i relay nie są jednocześnie gotowe",MEDIUM,P1,high,M,Mobile/UI / model gotowości,"Aplikacja poprawnie rozróżnia komponenty transportu w modelu, ale na końcu łączy je w jeden twardy gate. Zaszyfrowana baza i snapshot aplikacji są dostępne wcześniej, jednak użytkownik nie może wejść do historii, ustawień ani diagnostyki operacyjnej.","Tor lokalny działa, ale relay ma awarię albo onion service nie może się opublikować z powodu ograniczenia tła. Użytkownik ma w pełni czytelną lokalną bazę, lecz pozostaje na ekranie boot. Podobnie relay może działać, a P2P być chwilowo niedostępny; lokalne funkcje są niepotrzebnie zablokowane.","Zły UX offline, utrudniony dostęp do własnych danych, mylenie control plane z data plane i większa skłonność użytkownika do restartów/wyłączania aplikacji.","Brak osobnych capability gates dla „local usable”, „pairing available”, „relay available” i „peer reachable”.","Po `engine_ready && local_data_ready` otwierać główny shell w trybie offline/degraded. Osobno prezentować gotowość Tor, listenera, onion, relay i konkretnego kontaktu. Blokować tylko operacje, które faktycznie wymagają danego komponentu: pairing/profil relayem, P2P send endpointem, relay fallback sesją relay.","Start z zaszyfrowaną historią przy niedostępnym relay: main screen i historia są dostępne, send pokazuje queued/degraded. Start bez onion service, ale z polityką relay-only: relayowe operacje działają. Start bez relay, ale z aktywną sesją P2P: wiadomość może zostać wysłana P2P.","UI musi przestać utożsamiać jeden status z całym systemem. Migrację wykonać najpierw na warstwie modelu gotowości, potem zmienić routing ekranów; nie usuwać diagnostycznej osi czasu.","`mobile/lib/app/sequential_app_controller.dart:144-197` — po odczycie snapshotu ekran pozostaje `boot`; sekwencja czeka kolejno na Tor, peer listener, onion service i relay. | `mobile/lib/app/app_controller_base.dart:801-868` — komunikacja pozostaje pending bez relay nawet przy gotowym endpoint P2P. | `mobile/lib/app/app_controller_base.dart:872-891` — przejście do main wymaga `transport.connected`, gotowego peer servera i wszystkich kroków `ready`."
TC-007,Snapshoty MLS nie mają ochrony przed rollbackiem starszej kopii bazy,HIGH,P1,medium,L,Kryptografia / backup i recovery,"Crash rollback pojedynczej transakcji jest obsłużony, lecz przywrócenie starszej kopii całej zaszyfrowanej bazy cofa również MLS i wszystkie lokalne wskaźniki. Repozytorium nie zawiera niezależnej kotwicy pozwalającej wykryć, że snapshot był już historycznie zastąpiony nowszym.","Użytkownik przywraca backup katalogu aplikacji lub narzędzie synchronizacji nadpisuje DB starszą wersją. Silnik poprawnie odszyfrowuje bazę i ładuje historyczny MLS state. Kolejne wiadomości mogą być nieodszyfrowywalne, kontakt trafi do crypto-block, a zachowanie zależy od właściwości OpenMLS przy cofniętej generacji.",Trwała desynchronizacja MLS i możliwe naruszenie oczekiwanej ochrony post-compromise/forward secrecy. Nie potwierdzono w dostarczonym materiale konkretnego wykorzystania poufności — to ryzyko architektoniczne wymagające testu z właściwościami OpenMLS.,Backup/recovery został utożsamiony z odtworzeniem bajtów SQLCipher bez modelu anti-rollback dla stanu kryptograficznego.,"Dodać per-relationship monotonic `mls_state_version` oraz zewnętrzną kotwicę w OS secure storage, ewentualnie podpisany checkpoint synchronizowany z peerem. Snapshot envelope powinien zawierać protocol/library/schema version, group ID i epoch. Przy wykryciu rollbacku zatrzymać deszyfrowanie i wymagać kontrolowanego recovery/re-pair, nie próbować „naprawiać” stanu.","Utworzyć konwersację, wymienić N wiadomości, zachować snapshot z N-2, następnie podmienić DB i uruchomić klienta. Oczekiwane jawne wykrycie rollbacku przed wysłaniem/odszyfrowaniem. Dodać testy kompatybilności backup/rekey i dokumentowaną politykę odzyskiwania.",Secure-store counter może sam zostać utracony podczas migracji urządzenia. Projekt musi rozróżnić legalny restore na nowym urządzeniu od rollbacku; dla 0.1 można jawnie nie wspierać restore i wymagać re-pair.,"`common/torchat-core/src/mls.rs:38-57,89-151,201-264` — cały stan provider `MemoryStorage` i signer jest serializowany do własnego snapshotu `TCMEM1`. | `common/torchat-client-engine/sql/migrations/001_canonical_client.sql:24-31` — jedynym trwałym kotwiczeniem konwersacji jest rekord `conversation_mls` w tej samej bazie. | `common/torchat-client-engine/src/actor/mod.rs:1118-1139` — przy starcie actor bezwarunkowo odtwarza snapshoty z bazy; brak zewnętrznego monotonic counter/epoch."
TC-008,"Read receipts są częścią publicznego kontraktu i UI, ale engine zawsze odrzuca je jako `Unsupported`",MEDIUM,P1,high,M,Niespójność kontraktu produktu,"Decyzja o wyłączeniu lossy MLS frames jest poprawna kryptograficznie, ale kontrakt produktu nie odzwierciedla tej decyzji. UI traktuje operację jako wykonaną i ukrywa błąd.","Odbiorca otwiera rozmowę. Lokalny focus zostaje ustawiony, potem `sendReadReceipts` zwraca unsupported. Catch ignoruje wynik. Nadawca nigdy nie otrzymuje READ, mimo że modele i UI mogą pokazywać tę funkcję jako dostępną.",Niespójne stany wiadomości i trudne testowanie; użytkownik nie może odróżnić „wyłączone” od „chwilowo niedostarczone”.,"Feature flag istnieje wewnątrz implementacji, nie w negocjowanym kontrakcie/capabilities.","Dla 0.1 wybrać jedną drogę: usunąć/hide `sendReadReceipts` i READ z aktywnego manifestu capability albo wdrożyć receipt jako trwałą, uporządkowaną ramkę korzystającą z tego samego MLS outboxu co wiadomości. Nie stosować best-effort po kanale, który przesuwa ratchet.","Contract test ma sprawdzać, że każda publiczna operacja jest albo wykonywalna, albo jawnie oznaczona `disabled` z powodem i UI jej nie wywołuje. Dla implementacji trwałej: utrata ACK, restart po encryption, duplikat receipt i receipt wyprzedzający lokalny zapis.",Usunięcie READ może wymagać migracji UI i modeli. Implementacja trwała zwiększa obciążenie kolejki i musi zachować globalne uporządkowanie MLS z wiadomościami i capability frames.,"`common/client-engine-contract.json:1-231` — publiczne `sendReadReceipts`, event/state `READ`. | `common/torchat-client-engine/src/actor/command_dispatch.rs:376-390` — komenda buduje `ApplicationPayloadV1::ReadReceipt`. | `common/torchat-client-engine/src/actor/mod.rs:660-691` — dla wszystkich nie-capability „ephemeral” stała `EPHEMERAL_MLS_DELIVERY_SAFE=false` zwraca `Unsupported`. | `mobile/lib/core/runtime/runtime_repository.dart:786-798` — UI wywołuje receipt po focus i po cichu przechwytuje każdy błąd."
TC-009,"Retry jest deterministyczny, bez jittera i bez ogólnego dead-letter/permanent-failure lifecycle",MEDIUM,P1,high,M,System rozproszony / retry,"Kolejki są trwałe i claimowane, co jest dobrą bazą, ale ich scheduler nigdy systemowo nie kończy poison itemów. Po wspólnej awarii wszystkie klienty wracają w tych samych interwałach.","Relay wraca po awarii albo endpoint kontaktu jest permanentnie niepoprawny. Tysiące klientów wykonują próby w tych samych sekundach. Poison capability/welcome jest ponawiany bez końca, tabela rośnie, logi się powtarzają i koszt startup recovery rośnie.","Thundering herd, retry storms, zużycie baterii i nieograniczony dług operacyjny w bazie. Użytkownik nie dostaje rozstrzygnięcia błędu permanentnego.","Retry policy jest helperem liczbowym, nie jawnie modelowanym kontraktem błędów i lifecycle kolejki.","Wprowadzić wspólny `RetryPolicy` z Full Jitter, maksymalnym opóźnieniem, limitem prób/age i klasyfikacją transient/permanent/auth/protocol. Każda kolejka powinna mieć `state`, `claimed_until`, `last_error_code`, `dead_lettered_at`. Dead-letter ma być widoczny w diagnostyce i możliwy do ręcznego retry po zmianie warunków.","Deterministyczny clock i RNG: rozkład jittera w granicach, przejście do dead-letter po limicie, brak retry permanentnego frame-too-large, reset backoff po nowym endpoint/capability, recovery claim po crashu.","Zmiana deadline’ów może opóźnić istniejące rekordy. Migrować bez kasowania, wyliczając stan na podstawie attempt_count/age; zachować specjalne reguły dla wiadomości użytkownika.","`common/torchat-client-engine/src/actor/mod.rs:1101-1104` — `5s * 2^min(attempt,5)`, bez losowości. | `common/torchat-client-engine/src/actor/connection.rs:348-363` — relay retry 3/5/8/12/15 sekund, również deterministyczny. | `common/torchat-client-engine/sql/migrations/001_canonical_client.sql:56-105` oraz migracje 007-021 — wiele kolejek ma `attempt_count`, `next_attempt_at`, `last_error`, ale brak wspólnego `DEAD_LETTER`, `permanent_reason` i limitu wieku/prób."
TC-010,Kolejka relay-control jest nieograniczona i używa `Vec::remove(0)`,MEDIUM,P1,high,S,Współbieżność / backpressure,"Główne kanały engine i peer są bounded, lecz control plane ma wyjątek bez limitu. `remove(0)` przesuwa wszystkie elementy, więc koszt rośnie liniowo z backlogiem.","UI lub błędny klient szybko wysyła setNickname/refresh/submit/cancel/inbox, podczas gdy Tor HTTP blokuje się na timeoutach. Kolejka rośnie w pamięci, każdy dequeue kopiuje/przesuwa elementy, a outcome channel również nie ma backpressure.",Wzrost pamięci i czasu actor loop; możliwość lokalnego DoS przez host/UI; gorszy startup/reconnect.,"Control worker został dodany jako boczna ścieżka po optymalizacji actor loop, bez tej samej polityki capacity co reszta engine.","Użyć `VecDeque`, bounded mpsc i stałej capacity. Deduplikować/coalesce operacje po kluczu (`setNickname` latest, inbox refresh singleton, confirm/ack by ID), a publicznemu callerowi zwracać `busy/backpressure` zamiast nieskończonego enqueue.","Zablokowany worker + więcej poleceń niż capacity: pamięć pozostaje bounded, singletony są scalone, mutacje nie zmieniają kolejności, caller dostaje jawny błąd.","Backpressure zmieni zachowanie hosta; UI musi rozpoznawać `busy` i retry z jitterem, nie zapętlać natychmiast.","`common/torchat-client-engine/src/actor/mod.rs:147-178,286-287` — actor przechowuje `Vec<PendingRelayControl>` i tworzy dwa `mpsc::unbounded_channel` dla outcome’ów. | `common/torchat-client-engine/src/actor/connection.rs:84-91` — pobranie następnego elementu wykonuje `remove(0)`. | `common/torchat-client-engine/src/actor/mod.rs:429-439` — publiczne relay-control commands są dopisywane do kolejki; deduplikacja obejmuje tylko część wewnętrznych operacji."
