path,category,lines,bytes,review_status,review_depth,omission_reason
.editorconfig,"Skrypty, CI/CD i infrastruktura",15,193,przejrzany w dostarczonym agregacie,przegląd statyczny konfiguracji i ścieżek wdrożenia,
.gitattributes,"Skrypty, CI/CD i infrastruktura",3,68,przejrzany w dostarczonym agregacie,przegląd statyczny konfiguracji i ścieżek wdrożenia,
.github/workflows/release-0-1-validation.yml,"Skrypty, CI/CD i infrastruktura",176,5520,przejrzany w dostarczonym agregacie,przegląd statyczny konfiguracji i ścieżek wdrożenia,
.gitignore,"Skrypty, CI/CD i infrastruktura",63,859,przejrzany w dostarczonym agregacie,przegląd statyczny konfiguracji i ścieżek wdrożenia,
Cargo.lock,"Kod wygenerowany, lock i zasoby zależności",3604,88097,przejrzany w dostarczonym agregacie,kontrola pochodzenia/generowania lub zależności,
Cargo.toml,Dokumentacja i konfiguracja repozytorium,20,454,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
common/client-engine-contract.json,Kontrakty i modele protokołu,232,4749,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
common/internal-runtime-fixtures.json,Kontrakty i modele protokołu,201,4760,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
common/torchat-client-engine-ffi/Cargo.toml,Dokumentacja i konfiguracja repozytorium,17,488,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
common/torchat-client-engine-ffi/src/c_api.rs,Kod produkcyjny,413,12333,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine-ffi/src/handle.rs,Kod produkcyjny,22,750,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine-ffi/src/json.rs,Kod produkcyjny,11,364,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine-ffi/src/lib.rs,Kod produkcyjny,4,45,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/Cargo.toml,Dokumentacja i konfiguracja repozytorium,27,860,przejrzany w dostarczonym agregacie,przegląd statyczny i semantyczny,
common/torchat-client-engine/sql/migrations/000_schema_migrations.sql,Migracje i zapytania SQL,6,168,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/001_canonical_client.sql,Migracje i zapytania SQL,125,3734,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/002_pairing_inbox_retry.sql,Migracje i zapytania SQL,10,217,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/003_pairing_response_delivery.sql,Migracje i zapytania SQL,3,84,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/004_retry_indexes.sql,Migracje i zapytania SQL,24,956,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/005_message_replies.sql,Migracje i zapytania SQL,2,52,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/006_contact_preferences.sql,Migracje i zapytania SQL,4,184,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/007_peer_p2p.sql,Migracje i zapytania SQL,79,2468,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/008_contact_transport_policy.sql,Migracje i zapytania SQL,6,142,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/009_peer_endpoint_bootstrap_outbox.sql,Migracje i zapytania SQL,16,576,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/010_pending_contact_confirmations.sql,Migracje i zapytania SQL,14,520,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
common/torchat-client-engine/sql/migrations/011_pending_pairing_acknowledgements.sql,Migracje i zapytania SQL,10,349,przejrzany w dostarczonym agregacie,ręczny przegląd krytycznej ścieżki,
